original_image,mask_file,crop_file,x,y,width,height,yolo_confidence,coverage,classifier_confidence,predicted_condition,quality_score,latitude,longitude
1681678483231735.jpg,1681678483231735_2.png,crops/1681678483231735_2.png,1117,712,95,142,0.836079,0.0036916732788085,0.9988252520561218,good,1.0,27.672911074894,85.41225337728
1681678483231735.jpg,1681678483231735_3.png,crops/1681678483231735_3.png,1116,408,86,111,0.323741,0.0026054382324218,0.999461829662323,good,1.0,27.672911074894,85.41225337728
1681678483231735.jpg,1681678483231735_4.png,crops/1681678483231735_4.png,1127,1468,109,68,0.317556,0.0020958582560221,0.973039984703064,good,1.0,27.672911074894,85.41225337728
1692196965035040.jpg,1692196965035040_0.png,crops/1692196965035040_0.png,1030,746,129,131,0.939969,0.0050573348999023,0.7768193483352661,good,1.0,27.677925532138,85.407440708718
1692196965035040.jpg,1692196965035040_1.png,crops/1692196965035040_1.png,1014,1011,155,159,0.92679,0.0068276723225911,0.7026562690734863,damaged,0.5,27.677925532138,85.407440708718
1692196965035040.jpg,1692196965035040_2.png,crops/1692196965035040_2.png,969,1351,171,183,0.80456,0.0093075434366861,0.9921101927757264,damaged,0.5,27.677925532138,85.407440708718
1695654201319705.jpg,1695654201319705_0.png,crops/1695654201319705_0.png,762,706,134,95,0.982889,0.0037914911905924,0.988097369670868,good,1.0,27.680360918711,85.397180030807
1695654201319705.jpg,1695654201319705_1.png,crops/1695654201319705_1.png,758,980,150,119,0.959559,0.0054000218709309,0.99459969997406,good,1.0,27.680360918711,85.397180030807
1695654201319705.jpg,1695654201319705_2.png,crops/1695654201319705_2.png,733,1358,181,172,0.842451,0.0091520945231119,0.7024949193000793,good,1.0,27.680360918711,85.397180030807
1695654201319705.jpg,1695654201319705_3.png,crops/1695654201319705_3.png,772,331,111,60,0.661893,0.0019149780273437,0.9977992177009584,good,1.0,27.680360918711,85.397180030807
1695654201319705.jpg,1695654201319705_4.png,crops/1695654201319705_4.png,768,499,124,73,0.617917,0.0026194254557291,0.9993177652359008,good,1.0,27.680360918711,85.397180030807
1697887837746049.jpg,1697887837746049_0.png,crops/1697887837746049_0.png,1164,207,70,57,0.266539,0.0010929107666015,0.999536156654358,good,1.0,27.671584376365,85.41623950573
1705012020410140.jpg,1705012020410140_0.png,crops/1705012020410140_0.png,1063,969,139,135,0.98788,0.0052951176961263,0.964227557182312,good,1.0,27.679386944777,85.401377787626
1705012020410140.jpg,1705012020410140_1.png,crops/1705012020410140_1.png,1118,416,101,76,0.923075,0.0023237864176432,0.9984316229820251,good,1.0,27.679386944777,85.401377787626
1705012020410140.jpg,1705012020410140_2.png,crops/1705012020410140_2.png,1084,740,118,113,0.905327,0.0039879480997721,0.9924637079238892,good,1.0,27.679386944777,85.401377787626
1705012020410140.jpg,1705012020410140_3.png,crops/1705012020410140_3.png,1116,290,98,73,0.837801,0.0019823710123697,0.9989193677902222,good,1.0,27.679386944777,85.401377787626
1705012020410140.jpg,1705012020410140_4.png,crops/1705012020410140_4.png,1035,1245,155,186,0.759091,0.0080521901448567,0.7642022371292114,good,1.0,27.679386944777,85.401377787626
